state,year,educ_spending
Alabama,1980,73762875
Alaska,1980,7189289
Arizona,1980,33066590
Arkansas,1980,48561040
California,1980,321928260
Colorado,1980,31792273
Connecticut,1980,30507901
Delaware,1980,9920816
District of Columbia,1980,18317754
Florida,1980,108348080
Georgia,1980,82845811
Hawaii,1980,10434531
Idaho,1980,10171857
Illinois,1980,142541457
Indiana,1980,40318687
Iowa,1980,26353442
Kansas,1980,22626609
Kentucky,1980,61777854
Louisiana,1980,90533026
Maine,1980,14080980
Maryland,1980,52273824
Massachusetts,1980,68262364
Michigan,1980,132044580
Minnesota,1980,41799441
Mississippi,1980,73432608
Missouri,1980,54212388
Montana,1980,10603278
Nebraska,1980,16208707
Nevada,1980,4882694
New Hampshire,1980,6425642
New Jersey,1980,79406091
New Mexico,1980,26196096
New York,1980,282341607
North Carolina,1980,93794106
North Dakota,1980,9190532
Ohio,1980,94598969
Oklahoma,1980,36635151
Oregon,1980,33113519
Pennsylvania,1980,137130071
Rhode Island,1980,10321952
South Carolina,1980,57429006
South Dakota,1980,9586812
Tennessee,1980,68306883
Texas,1980,256993668
Utah,1980,10066746
Vermont,1980,6519678
Virginia,1980,62196550
Washington,1980,45188857
West Virginia,1980,30038237
Wisconsin,1980,49809107
Wyoming,1980,5132103
American Samoa,1980,1547872
Guam,1980,1835442
Northern Mariana Islands,1980,683042
Puerto Rico,1980,114802814
Virgin Islands,1980,3385610
Palau,1980,0
Marshall Islands,1980,0
Micronesia,1980,0
Indian Tribe Set Aside,1980,20194258