state,year,educ_spending_1981
Alabama,1981,70765530
Alaska,1981,5591043
Arizona,1981,30225432
Arkansas,1981,44917476
California,1981,314813791
Colorado,1981,29427390
Connecticut,1981,25679857
Delaware,1981,8245888
District of Columbia,1981,15447143
Florida,1981,102393355
Georgia,1981,79437926
Hawaii,1981,8524836
Idaho,1981,9605249
Illinois,1981,115817766
Indiana,1981,36425459
Iowa,1981,25145482
Kansas,1981,22180482
Kentucky,1981,58217910
Louisiana,1981,85601081
Maine,1981,13075167
Maryland,1981,47969929
Massachusetts,1981,57639244
Michigan,1981,122241573
Minnesota,1981,38576402
Mississippi,1981,70264384
Missouri,1981,51345849
Montana,1981,10022213
Nebraska,1981,15712544
Nevada,1981,4523099
New Hampshire,1981,4445401
New Jersey,1981,69735128
New Mexico,1981,25401967
New York,1981,243278164
North Carolina,1981,88906141
North Dakota,1981,8722735
Ohio,1981,84164321
Oklahoma,1981,36524477
Oregon,1981,28225452
Pennsylvania,1981,119568418
Rhode Island,1981,9894896
South Carolina,1981,54397682
South Dakota,1981,9080210
Tennessee,1981,64660316
Texas,1981,239495463
Utah,1981,9319311
Vermont,1981,4896071
Virginia,1981,58196376
Washington,1981,42577473
West Virginia,1981,28894177
Wisconsin,1981,44264702
Wyoming,1981,4381441
American Samoa,1981,1497998
Guam,1981,4537738
Northern Mariana Islands,1981,1579818
Puerto Rico,1981,107731163
Virgin Islands,1981,661964
Palau,1981,0
Marshall Islands,1981,0
Micronesia,1981,0
Indian Tribe Set Aside,1981,19521853