state,1980_unemployment_rate,,,,,,,,,,,,,
Alabama,8.9,,,,,,,,,,,,,
Alaska,9.6,,,,,,,,,,,,,
Arizona,6.6,,,,,,,,,,,,,
Arkansas,7.6,,,,,,,,,,,,,
California,6.8,,,,,,,,,,,,,
Colorado,5.8,,,,,,,,,,,,,
Connecticut,5.8,,,,,,,,,,,,,
Delaware,7.6,,,,,,,,,,,,,
District of Columbia,7.4,,,,,,,,,,,,,
Florida,6.1,,,,,,,,,,,,,
Georgia,6.3,,,,,,,,,,,,,
Hawaii,5,,,,,,,,,,,,,
Idaho,7.5,,,,,,,,,,,,,
Illinois,8.2,,,,,,,,,,,,,
Indiana,9.6,,,,,,,,,,,,,
Iowa,6,,,,,,,,,,,,,
Kansas,4.4,,,,,,,,,,,,,
Kentucky,8,,,,,,,,,,,,,
Louisiana,6.9,,,,,,,,,,,,,
Maine,7.6,,,,,,,,,,,,,
Maryland,6.6,,,,,,,,,,,,,
Massachusetts,5.6,,,,,,,,,,,,,
Michigan,12.3,,,,,,,,,,,,,
Minnesota,5.8,,,,,,,,,,,,,
Mississippi,7.4,,,,,,,,,,,,,
Missouri,7.2,,,,,,,,,,,,,
Montana,6.1,,,,,,,,,,,,,
Nebraska,3.9,,,,,,,,,,,,,
Nevada,6.2,,,,,,,,,,,,,
New Hampshire,4.5,,,,,,,,,,,,,
New Jersey,7.2,,,,,,,,,,,,,
New Mexico,7.6,,,,,,,,,,,,,
New York,7.5,,,,,,,,,,,,,
North Carolina,6.4,,,,,,,,,,,,,
North Dakota,4.9,,,,,,,,,,,,,
Ohio,8.4,,,,,,,,,,,,,
Oklahoma,4.4,,,,,,,,,,,,,
Oregon,8.5,,,,,,,,,,,,,
Pennsylvania,8,,,,,,,,,,,,,
Rhode Island,7.2,,,,,,,,,,,,,
South Carolina,6.7,,,,,,,,,,,,,
South Dakota,4.8,,,,,,,,,,,,,
Tennessee,7.4,,,,,,,,,,,,,
Texas,5.1,,,,,,,,,,,,,
Utah,6.2,,,,,,,,,,,,,
Vermont,6.2,,,,,,,,,,,,,
Virginia,5.2,,,,,,,,,,,,,
Washington,8.1,,,,,,,,,,,,,
West Virginia,9.5,,,,,,,,,,,,,
Wisconsin,7.2,,,,,,,,,,,,,
Wyoming,3.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,