date, value
12/1/16,-4.19
12/1/17,-21.71
12/1/18,10.51
12/1/19,30.45
12/1/20,-32.9
12/1/21,12.3
12/1/22,21.5
12/1/23,-2.7
12/1/24,26.16
12/1/25,25.37
12/1/26,4.05
12/1/27,27.67
12/1/28,49.48
12/1/29,-17.17
12/1/30,-33.77
12/1/31,-52.67
12/1/32,-23.07
12/1/33,66.69
12/1/34,4.14
12/1/35,38.53
12/1/36,24.82
12/1/37,-32.82
12/1/38,28.06
12/1/39,-2.92
12/1/40,-12.72
12/1/41,-15.38
12/1/42,7.61
12/1/43,13.81
12/1/44,12.09
12/1/45,26.65
12/1/46,-8.14
12/1/47,2.23
12/1/48,-2.13
12/1/49,12.88
12/1/50,17.63
12/1/51,14.37
12/1/52,8.42
12/1/53,-3.77
12/1/54,43.96
12/1/55,20.77
12/1/56,2.27
12/1/57,-12.77
12/1/58,33.96
12/1/59,16.4
12/1/60,-9.34
12/1/61,18.71
12/1/62,-10.81
12/1/63,17
12/1/64,14.57
12/1/65,10.88
12/1/66,-18.94
12/1/67,15.2
12/1/68,4.27
12/1/69,-15.19
12/1/70,4.82
12/1/71,6.11
12/1/72,14.58
12/1/73,-16.58
12/1/74,-27.57
12/1/75,38.32
12/1/76,17.86
12/1/77,-17.27
12/1/78,-3.15
12/1/79,4.19
12/1/80,14.93
12/1/81,-9.23
12/1/82,19.6
12/1/83,20.27
12/1/84,-3.74
12/1/85,27.66
12/1/86,22.58
12/1/87,2.26
12/1/88,11.85
12/1/89,26.96
12/1/90,-4.34
12/1/91,20.32
12/1/92,4.17
12/1/93,13.72
12/1/94,2.14
12/1/95,33.45
12/1/96,26.01
12/1/97,22.64
12/1/98,16.1
12/1/99,25.22
12/1/00,-6.17
12/1/01,-7.1
12/1/02,-16.76
12/1/03,25.32
12/1/04,3.15
12/1/05,-0.61
12/1/06,16.29
12/1/07,6.43
12/1/08,-33.84
12/1/09,18.82
12/1/10,11.02
12/1/11,5.53
12/1/12,7.26
12/1/13,26.5
12/1/14,7.52
12/1/15,-2.23
12/1/16,13.42
12/1/17,25.08
12/1/18,-5.63
12/1/19,22.34
12/1/20,7.25
4/1/21,9.23